id,name,signup_date,country,age,gender,is_premium,num_purchases,purchase_amount,last_login,feedback,days_since_last_login,churned
70,User_70,2020-08-29,BR,49.0,F,False,2,104.68,2024-11-14,Poderia melhorar,48,0
71,User_71,2022-02-15,BR,72.0,F,True,2,20.93,2024-02-10,,326,0
72,User_72,2020-12-11,FR,26.0,M,False,3,86.09,2024-04-20,Ótimo serviço,256,0
73,User_73,2021-07-18,BR,58.0,M,False,1,5.86,2024-05-23,Poderia melhorar,223,1
74,User_74,2022-06-16,,52.0,M,False,2,93.69,2024-08-14,Excelente!,140,0
75,User_75,2020-12-05,BR,36.0,F,False,2,6.82,2024-06-01,,214,0
76,User_76,2020-04-01,BR,65.0,M,False,3,25.32,2024-06-05,,210,0
77,User_77,2021-01-01,BR,33.0,M,False,1,79.8,2024-02-19,Ótimo serviço,317,1
78,User_78,2022-08-13,BR,20.0,F,True,2,8.12,2024-12-01,Ótimo serviço,31,0
79,User_79,2021-03-30,US,37.0,M,False,1,13.02,2024-07-28,Excelente!,157,0
80,User_80,2021-03-03,PT,41.0,F,False,0,64.05,2024-03-23,Ótimo serviço,284,1
81,User_81,2021-05-23,US,71.0,M,False,1,63.65,2024-03-03,Poderia melhorar,304,1
82,User_82,2022-02-14,BR,73.0,M,False,1,51.24,2024-03-22,Poderia melhorar,285,1
83,User_83,2022-07-31,BR,50.0,F,False,5,59.2,2024-08-11,Poderia melhorar,143,0
84,User_84,2020-02-04,BR,41.0,M,False,3,39.12,2024-12-14,Excelente!,18,0
85,User_85,2020-07-24,BR,69.0,M,False,0,14.5,2024-12-15,Ótimo serviço,17,0
86,User_86,2020-03-21,US,28.0,F,False,1,21.21,2024-04-20,Excelente!,256,1
87,User_87,2022-07-20,PT,66.0,F,False,2,10.02,2024-10-16,Ótimo serviço,77,0
88,User_88,2021-07-15,BR,25.0,M,False,3,119.54,2024-07-11,Ótimo serviço,174,0
89,User_89,2022-05-21,BR,53.0,F,False,1,43.78,2024-06-22,Não gostei,193,1
90,User_90,2021-01-22,BR,55.0,M,False,1,25.61,2024-09-11,,112,0
91,User_91,2020-01-02,US,57.0,M,True,1,31.0,2024-09-10,,113,0
92,User_92,2021-01-24,US,,F,False,1,147.14,2024-05-25,Excelente!,221,1
93,User_93,2021-07-19,BR,52.0,F,False,3,8.32,2024-07-20,,165,0
94,User_94,2020-04-15,FR,65.0,F,False,4,44.12,2024-02-18,Excelente!,318,0
95,User_95,2022-02-10,BR,42.0,F,False,1,35.25,2024-08-23,Ótimo serviço,131,0
96,User_96,2022-04-01,FR,52.0,O,False,3,47.27,2024-04-13,Não gostei,263,0
97,User_97,2021-04-21,PT,42.0,F,False,2,0.91,2024-11-08,Excelente!,54,0
98,User_98,2021-12-03,BR,46.0,M,True,2,102.83,2024-01-09,Poderia melhorar,358,0
99,User_99,2021-02-05,BR,35.0,F,False,0,134.5,2024-08-24,Não gostei,130,0
100,User_100,2021-12-30,US,63.0,M,True,2,41.64,2024-03-20,Ótimo serviço,287,0
